ID,Track.Name,Artist.Name,Genre,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length,Acousticness..,Speechiness.,Popularity
44,Talk,Khalid,pop,136,40,90,-9,6,35,198,5,13,84
9,Old Town Road - Remix,Lil Nas X,country rap,136,62,88,-6,11,64,157,5,10,87
45,Con Altura,ROSAL�A,r&b en espanol,98,69,88,-4,5,75,162,39,12,88
19,Lalala,Y2K,canadian hip hop,130,39,84,-8,14,50,161,18,8,88
39,Sucker,Jonas Brothers,boy band,138,73,84,-5,11,95,181,4,6,80
15,Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,101,50,83,-4,12,10,205,10,5,92
12,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,96,71,82,-4,15,38,185,28,7,86
27,Dance Monkey,Tones and I,australian pop,98,59,82,-6,18,54,210,69,10,83
23,No Me Conoce - Remix,Jhay Cortez,reggaeton flow,92,79,81,-4,9,58,309,14,7,83
40,"fuck, i'm lonely (with Anne-Marie) - from �13 Reasons Why: Season 3�",Lauv,dance pop,95,56,81,-6,6,68,199,48,7,78
